Year	Province	Area Council	Sex	Value
2016	Torba	torres	Female	517
2016	Torba	ureparapara	Female	217
2016	Torba	motalava	Female	868
2016	Torba	vanua lava	Female	1525
2016	Torba	mota	Female	320
2016	Torba	gaua	Female	1252
2016	Torba	merelava	Female	309
2016	Sanma	north west santo	Female	853
2016	Sanma	north santo	Female	2275
2016	Sanma	west santo	Female	1536
2016	Sanma	south santo	Female	4071
2016	Sanma	east santo	Female	2303
2016	Sanma	south east santo	Female	2870
2016	Sanma	canal - fanafo	Female	2298
2016	Sanma	luganville	Female	7968
2016	Sanma	west malo	Female	1145
2016	Sanma	east malo	Female	964
2016	Penama	west ambae	Female	1945
2016	Penama	north ambae	Female	1979
2016	Penama	east ambae	Female	1019
2016	Penama	south ambae	Female	734
2016	Penama	north maewo	Female	1146
2016	Penama	south maewo	Female	641
2016	Penama	north pentecost	Female	2844
2016	Penama	central pentecost 1	Female	1290
2016	Penama	central pentecost 2	Female	1970
2016	Penama	south pentecost	Female	2417
2016	Malampa	north west malekula	Female	2699
2016	Malampa	north east malekula	Female	3548
2016	Malampa	central malekula	Female	3141
2016	Malampa	south west malekula	Female	1708
2016	Malampa	south east malekula	Female	2483
2016	Malampa	south malekula	Female	1973
2016	Malampa	north ambrym	Female	1627
2016	Malampa	west ambrym	Female	1449
2016	Malampa	south east ambrym	Female	758
2016	Malampa	paama	Female	853
2016	Shefa	vermali	Female	1068
2016	Shefa	vermaul	Female	736
2016	Shefa	varisu	Female	802
2016	Shefa	south epi	Female	688
2016	Shefa	north tongoa	Female	853
2016	Shefa	tongariki	Female	468
2016	Shefa	makimae	Female	584
2016	Shefa	nguna	Female	864
2016	Shefa	emau	Female	341
2016	Shefa	malorua	Female	1388
2016	Shefa	north efate	Female	1504
2016	Shefa	mele	Female	2389
2016	Shefa	port vila	Female	25275
2016	Shefa	ifira	Female	604
2016	Shefa	pango	Female	1198
2016	Shefa	erakor	Female	4427
2016	Shefa	eratap	Female	3184
2016	Shefa	eton	Female	1688
2016	Tafea	north erromango	Female	735
2016	Tafea	south erromango	Female	319
2016	Tafea	aniwa	Female	220
2016	Tafea	north tanna	Female	2140
2016	Tafea	west tanna	Female	4312
2016	Tafea	middle bush tanna	Female	3006
2016	Tafea	south west tanna	Female	2830
2016	Tafea	whitesands	Female	3381
2016	Tafea	south tanna	Female	662
2016	Tafea	futuna	Female	325
2016	Tafea	aneityum	Female	688
2016	Torba	torres	Male	505
2016	Torba	ureparapara	Male	239
2016	Torba	motalava	Male	810
2016	Torba	vanua lava	Male	1634
2016	Torba	mota	Male	362
2016	Torba	gaua	Male	1324
2016	Torba	merelava	Male	279
2016	Sanma	north west santo	Male	844
2016	Sanma	north santo	Male	2472
2016	Sanma	west santo	Male	1536
2016	Sanma	south santo	Male	4363
2016	Sanma	east santo	Male	2382
2016	Sanma	south east santo	Male	3086
2016	Sanma	canal - fanafo	Male	2618
2016	Sanma	luganville	Male	8344
2016	Sanma	west malo	Male	1208
2016	Sanma	east malo	Male	1048
2016	Penama	west ambae	Male	2039
2016	Penama	north ambae	Male	1944
2016	Penama	east ambae	Male	1227
2016	Penama	south ambae	Male	783
2016	Penama	north maewo	Male	1216
2016	Penama	south maewo	Male	660
2016	Penama	north pentecost	Male	3079
2016	Penama	central pentecost 1	Male	1357
2016	Penama	central pentecost 2	Male	1892
2016	Penama	south pentecost	Male	2352
2016	Malampa	north west malekula	Male	2816
2016	Malampa	north east malekula	Male	3614
2016	Malampa	central malekula	Male	3125
2016	Malampa	south west malekula	Male	1858
2016	Malampa	south east malekula	Male	2657
2016	Malampa	south malekula	Male	1934
2016	Malampa	north ambrym	Male	1529
2016	Malampa	west ambrym	Male	1495
2016	Malampa	south east ambrym	Male	794
2016	Malampa	paama	Male	867
2016	Shefa	vermali	Male	1012
2016	Shefa	vermaul	Male	725
2016	Shefa	varisu	Male	816
2016	Shefa	south epi	Male	761
2016	Shefa	north tongoa	Male	835
2016	Shefa	tongariki	Male	519
2016	Shefa	makimae	Male	623
2016	Shefa	nguna	Male	864
2016	Shefa	emau	Male	344
2016	Shefa	malorua	Male	1528
2016	Shefa	north efate	Male	1483
2016	Shefa	mele	Male	2349
2016	Shefa	port vila	Male	26162
2016	Shefa	ifira	Male	582
2016	Shefa	pango	Male	1161
2016	Shefa	erakor	Male	4491
2016	Shefa	eratap	Male	3456
2016	Shefa	eton	Male	1830
2016	Tafea	north erromango	Male	756
2016	Tafea	south erromango	Male	299
2016	Tafea	aniwa	Male	200
2016	Tafea	north tanna	Male	2046
2016	Tafea	west tanna	Male	4255
2016	Tafea	middle bush tanna	Male	3001
2016	Tafea	south west tanna	Male	2763
2016	Tafea	whitesands	Male	3361
2016	Tafea	south tanna	Male	670
2016	Tafea	futuna	Male	336
2016	Tafea	aneityum	Male	745

