Year,Units,Series,Value
2006,Total,31410,24010
2007,Total,31410,23412
2008,Total,31410,31667
2009,Total,31410,31086
2010,Total,31410,27510
2011,Total,31410,27256
2012,Total,31410,27454
2013,Total,31410,29653
2014,Total,31410,30435
2015,Total,31410,39989
2016,Total,31410,41408
2017,Total,31410,39876
2018,Total,31410,38602
2006,Total,31411,5383
2007,Total,31411,5091
2008,Total,31411,5721
2009,Total,31411,6150
2010,Total,31411,4694
2011,Total,31411,6012
2012,Total,31411,5073
2013,Total,31411,3653
2014,Total,31411,3653
2015,Total,31411,4249
2016,Total,31411,5446
2017,Total,31411,6607
2018,Total,31411,6946
2013,Total,31413,29794
2014,Total,31413,43497
2015,Total,31413,31948
2016,Total,31413,40754
2017,Total,31413,34535
