Year,Units,Series,Value
2006,Total,Change in Government Revenue,816
2007,Total,Change in Government Revenue,1755
2008,Total,Change in Government Revenue,4860
2009,Total,Change in Government Revenue,211
2010,Total,Change in Government Revenue,-370
2011,Total,Change in Government Revenue,-1265
2012,Total,Change in Government Revenue,357
2013,Total,Change in Government Revenue,689
2014,Total,Change in Government Revenue,2106
2015,Total,Change in Government Revenue,7369
2016,Total,Change in Government Revenue,-4057
2017,Total,Change in Government Revenue,8055
