Year,Value,Units,Series
2006,24010,Total,Value National Trade Import
2007,23412,Total,Value National Trade Import
2008,31667,Total,Value National Trade Import
2009,31086,Total,Value National Trade Import
2010,27510,Total,Value National Trade Import
2011,27256,Total,Value National Trade Import
2012,27454,Total,Value National Trade Import
2013,29653,Total,Value National Trade Import
2014,30435,Total,Value National Trade Import
2015,39989,Total,Value National Trade Import
2016,41408,Total,Value National Trade Import
2017,39876,Total,Value National Trade Import
2018,38602,Total,Value National Trade Import
2006,5383,Total,Value National Trade Export
2007,5091,Total,Value National Trade Export
2008,5721,Total,Value National Trade Export
2009,6150,Total,Value National Trade Export
2010,4694,Total,Value National Trade Export
2011,6012,Total,Value National Trade Export
2012,5073,Total,Value National Trade Export
2013,3653,Total,Value National Trade Export
2014,3653,Total,Value National Trade Export
2015,4249,Total,Value National Trade Export
2016,5446,Total,Value National Trade Export
2017,6607,Total,Value National Trade Export
2018,6946,Total,Value National Trade Export
2013,29794,Total,Volume of National Trade Export
2014,43497,Total,Volume of National Trade Export
2015,31948,Total,Volume of National Trade Export
2016,40754,Total,Volume of National Trade Export
2017,34535,Total,Volume of National Trade Export
