Year,Value,Units,Series
2006,24010,Total,31410
2007,23412,Total,31410
2008,31667,Total,31410
2009,31086,Total,31410
2010,27510,Total,31410
2011,27256,Total,31410
2012,27454,Total,31410
2013,29653,Total,31410
2014,30435,Total,31410
2015,39989,Total,31410
2016,41408,Total,31410
2017,39876,Total,31410
2018,38602,Total,31410
2006,5383,Total,31411
2007,5091,Total,31411
2008,5721,Total,31411
2009,6150,Total,31411
2010,4694,Total,31411
2011,6012,Total,31411
2012,5073,Total,31411
2013,3653,Total,31411
2014,3653,Total,31411
2015,4249,Total,31411
2016,5446,Total,31411
2017,6607,Total,31411
2018,6946,Total,31411
2013,29794,Total,31413
2014,43497,Total,31413
2015,31948,Total,31413
2016,40754,Total,31413
2017,34535,Total,31413
